price,date
"$16,990.00","Sold  May 20, 2022Sold Item"
"$44,990.00","Sold  Apr 16, 2022Sold Item"
"$42,495.00","Sold  May 29, 2022Sold Item"
"$16,900.00","Sold  Apr 14, 2022Sold Item"
